ID,Latitude,Longitude,State,Franchisee
9309,35.879353,-106.294807,New Mexico,Brian K. Bailey
9310,35.108364,-106.587243,New Mexico,Brian K. Bailey
9311,34.816246,-106.764735,New Mexico,Brian K. Bailey
9312,32.391095,-106.70083,New Mexico,Brian K. Bailey
9319,26.2566,-98.22038,Texas,Fernando Salido
9320,30.041349,-95.488318,Texas,Fernando Salido
9321,26.40206,-99.01308,Texas,Fernando Salido
9322,30.39304,-97.70693,Texas,Fernando Salido
9323,29.829305,-95.71915,Texas,Fernando Salido
9324,29.869145,-95.331846,Texas,Fernando Salido
9325,26.292181,-97.986191,Texas,Fernando Salido
9326,29.692564,-95.208982,Texas,Fernando Salido
9327,33.101026,-96.801805,Texas,James W. Garner
9328,33.16881,-96.923663,Texas,Kevin P. See
9329,33.018881,-96.735281,Texas,Brian K. Bailey
9330,29.195928,-96.269327,Texas,Danish W. Dhedhi
9331,33.153722,-97.061111,Texas,Michael Corey McKanna
9332,33.6747,-96.905502,Texas,Steven T. Palmer
9333,30.67182,-97.918018,Texas,Michael H. Schweitzer
9334,31.069551,-97.67103,Texas,Michael A. Cunningham
9335,26.185714,-97.714988,Texas,Mitchel A. McCormick
9336,30.758012,-98.228885,Texas,Stephen Isaac Coronis
9337,30.38841,-97.64993,Texas,Fernando Salido
9338,30.630412,-96.378899,Texas,Michael A. Cunningham
9339,33.0475,-96.991944,Texas,Michael Corey McKanna
9340,29.456794,-98.448206,Texas,Alan D. Murph
9341,30.895873,-102.909974,Texas,Cassie Gerety
9342,31.997528,-106.590177,Texas,R. Brent Hamill
9343,31.849575,-106.356453,Texas,R. Brent Hamill
9344,32.523844,-97.34807,Texas,Dennis L. Mayhall
9345,32.762983,-97.485201,Texas,Dennis L. Mayhall
9346,29.754492,-95.499351,Texas,Dennis L. Mayhall
9347,29.902633,-96.905947,Texas,Michael A. Cunningham
9348,30.317279,-97.984631,Texas,Christopher J. Pallagi
9349,33.551798,-101.956103,Texas,Lawrence A. Vigil
9351,39.302469,-76.619322,Texas,Lawrence A. Vigil
9352,33.755293,-96.538161,Texas,Steven T. Palmer
